run_accession	sample_accession	sample_alias	sample_title	experiment_title	library_layout	study_accession	study_title	center_name	fastq_ftp	collection_date
SRR397384	SAMN00771179	A04437	Colorectal tumour - Subject 0005-100	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04437	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397384/SRR397384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397384/SRR397384_2.fastq.gz	
SRR397040	SAMN00771087	A02694	Colorectal tumour - Subject 0005-028	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02694	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397040/SRR397040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397040/SRR397040_2.fastq.gz	
SRR397387	SAMN00771182	A04440	Normal colon epithelium - Subject 0005-067	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04440	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397387/SRR397387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397387/SRR397387_2.fastq.gz	
SRR397390	SAMN00771185	A04443	Normal colon epithelium - Subject 0005-070	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04443	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397390/SRR397390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397390/SRR397390_2.fastq.gz	
SRR397041	SAMN00771088	A02695	Colorectal tumour - Subject 0005-030	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02695	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397041/SRR397041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397041/SRR397041_2.fastq.gz	
SRR397391	SAMN00771186	A04444	Normal colon epithelium - Subject 0005-071	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04444	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397391/SRR397391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397391/SRR397391_2.fastq.gz	
SRR397043	SAMN00771090	A02697	Colorectal tumour - Subject 0005-032	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02697	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397043/SRR397043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397043/SRR397043_2.fastq.gz	
SRR397393	SAMN00771188	A04446	Normal colon epithelium - Subject 0005-074	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04446	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397393/SRR397393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397393/SRR397393_2.fastq.gz	
SRR397395	SAMN00771190	A04448	Normal colon epithelium - Subject 0005-076	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04448	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397395/SRR397395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397395/SRR397395_2.fastq.gz	
SRR397396	SAMN00771191	A04450	Normal colon epithelium - Subject 0005-079	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04450	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397396/SRR397396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397396/SRR397396_2.fastq.gz	
SRR397045	SAMN00771092	A02699	Colorectal tumour - Subject 0005-034	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02699	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397045/SRR397045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397045/SRR397045_2.fastq.gz	
SRR397399	SAMN00771194	A04453	Normal colon epithelium - Subject 0005-085	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04453	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397399/SRR397399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397399/SRR397399_2.fastq.gz	
